sample_id,latitude,longitude,easting_utm,northing_utm,degradation_risk,crop_failure_risk,salinity_risk,overall_risk,degradation_cat,crop_failure_cat,salinity_cat
filebc494d5a79.52,30.80150345,76.36885432,630955.0,3408405.0,29.5,42.4,17.5,32.260000000000005,LOW,LOW,LOW
filebc494d5a79.53,30.72179428,76.3295041,627295.0,3399525.0,51.9,48.6,20.2,44.24,MODERATE,MODERATE,LOW
filebc494d5a79.54,30.78654818,76.30552227,624915.0,3406675.0,43.8,50.4,18.3,41.34,LOW,MODERATE,LOW
filebc494d5a79.55,30.77202236,76.32329807,626635.0,3405085.0,31.9,43.5,20.6,34.28,LOW,LOW,LOW
filebc494d5a79.56,30.78623625,76.33613759,627845.0,3406675.0,48.6,50.1,20.4,43.56,MODERATE,MODERATE,LOW
filebc494d5a79.57,30.83953841,76.37253079,631255.0,3412625.0,50.4,48.6,20.4,43.68,MODERATE,MODERATE,LOW
filebc494d5a79.58,30.77779785,76.37520607,631595.0,3405785.0,40.6,38.9,31.5,38.10000000000001,LOW,LOW,LOW
filebc494d5a79.59,30.81698842,76.35485701,629595.0,3410105.0,49.0,55.7,22.8,46.440000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.60,30.80414538,76.40024825,633955.0,3408735.0,54.1,57.1,20.2,48.52,MODERATE,MODERATE,LOW
filebc494d5a79.61,30.77569473,76.36075637,630215.0,3405535.0,50.8,51.0,18.1,44.339999999999996,MODERATE,MODERATE,LOW
filebc494d5a79.62,30.78339895,76.33129135,627385.0,3406355.0,43.0,53.6,18.4,42.32,LOW,MODERATE,LOW
filebc494d5a79.63,30.73205796,76.34040279,628325.0,3400675.0,42.4,50.2,21.0,41.24000000000001,LOW,MODERATE,LOW
